Nr;Interpretation;Kommunikation;Grundidee;Konsistenzprüfung;Fehlermanagement;Machine Learning;Entscheidung;Systemanalyse;Ontologie/Semantik;Meta-Interpretation;Meta-Kommunikation;Meta-Kohärenz;Reflexionsgrad;Adaptivität;Interferenzkontrolle;Meta-Systemzustand;R-Kontinuum;Ontologisches Objekt
11;meta-unbestimmt;Meta-Unschärfe;epistemische Offenheit;instabil;Meta-Unklarheit;unsichere Meta-Daten;Metawarten;semineutral;Meta-Unvollständigkeit;semitransparent;metakommunikativ;epistemisch offen;6;adaptiv;hoch;diffundierend;Bedeutung: semantisch, wahrscheinlich ontologisch;Deutung: zwölf Wortgruppe mit dreizehn Deutung zusammen der Satz
12;meta-widersprüchlich;Meta-Konflikt;dialektische Spannung;metastabil;Meta-Widerspruch;doppelte Meta-Label;Meta-Konfliktlösung;Meta-Deadlock;Meta-Mehrdeutigkeit;dialektisch;selbstoszillierend;logisch beidwertig;6;oszillierend;hoch;metastabil;Zusammenhang / Interkonnektion darstellend;Verbindung: Wörter wie Und Oder Obwohl Jedoch Stattdessen Weder
13;meta-dinglich;Meta-Faktisch;physisch verankerte Meta-Relation;überprüfbar;Meta-Messfehler;reale Meta-Messung;Meta-Verifikation;Ressourcentrace;physische Meta-Entität;empirisch verankert;sensorisch;mesologisch;7;gering;gering;stabilisiert;Wortgruppe: zwölf Wörter + dreizehn Deutungen, Satzstruktur;Fließend reden verkettend wie ein sich öffnender oder schließender Reißverschluss
14;meta-stapelbar;rekombinierbar;Meta-Entwicklung;reproduzierbar;Meta-Versionsfehler;iteratives Meta-Lernen;Meta-Optimierung;Meta-Iteration;evolutionäre Meta-Kohärenz;hyperprogressiv;rekursiv adaptiv;evolutionär offen;7;sehr hoch;mittel;meta-evolutionär;Deutung: zwölf Wörter + dreizehn Deutungen, Satzbezug;Komprimierte Aussage aufs Wesentliche, auch Quintessenz genannt
15;meta-ursprünglich;archaisch-reflexiv;Ursprung zweiter Ordnung;rekursiv verankert;historische Meta-Schicht;Rückkopplungsdaten;Meta-Ursache;Ursprungsrekursion;Proto-Ontologie;archontisch;retroaktiv;meta-historisch;8;stabil;gering;rekursiv;Verbindung: Wörter wie „und“, „oder“, „obwohl“, „jedoch“;Eine Sprache innerhalb der Linguistik, wie Programmiersprache oder gesprochene Sprache
16;meta-systemisch;allumfassend;integrative Ganzheit;global kohärent;Meta-Konflikt-Regelung;Meta-Layer-Fusion;Gesamt-Meta-Entscheidung;Ganzsystemanalyse;semantische Meta-Kohärenz;holistisch;integrativ;hyperkohärent;8;adaptiv;minimal;global-meta-stabil;Fließendes Reden: verkettend wie Reißverschluss, öffnend oder schließend;Dialekt wie C-- statt C oder C++ oder pypy3 etc.
17;meta-evolutionär;rekursiv-adaptiv;Entwicklungsfortschritt;stabilisiert;Meta-Versionskontrolle;Meta-Iteratives Lernen;Meta-Optimierung;Meta-Iteration;Meta-evolutionäre Kohärenz;progressiv;rekursiv adaptiv;evolutionär;9;sehr hoch;mittel;evolutionär-global;Sprachformulierung, Programmierformulierung, Entwicklungsformulierung, semantisch verstandene Mathematik;Geschriebenes, Gesprochenes, fertig Formuliertes
18;meta-historisch;archaisch-retrospektiv;Historische Analyse;rekursiv stabil;Meta-Archivfehler;Meta-Datenspeicherung;Meta-Ursachenanalyse;Meta-Herkunftsprüfung;Meta-Proto-Ontologie;archivisch;retrograd;rekursiv kohärent;9;stabil;gering;historisch;Geschriebenes, Gesprochenes, fertig Formuliertes;Sprachentwicklung, Dialektentstehung, neue Sprachen erschaffen
19;meta-semantisch;abstrakt-reflexiv;Ontologische Analyse;logisch konsistent;Meta-Kohärenztest;Meta-Labeling;Meta-Entscheidung;Meta-Strukturanalyse;Meta-Ontologie;reflexiv;semantisch kohärent;Meta-Kohärenz;10;hoch;gering;global-meta;Token-Art: Unterscheidungseinheiten von Gestaltungen, Gehirn-Kosmen, Wörtern, Syntaxen, Inhalten, Zeichen, Symbolen;Bedeutung, semantisch, in wahrscheinlich nicht nur Ontologie
20;meta-syntaktisch;formal-strukturiert;Strukturprüfung;stabil;Syntaxfehler;ML-Parser;Optimierung;Strukturanalyse;Syntaktische Ontologie;präzise;strukturiert;logisch geschlossen;10;konstant;mittel;global-stabil;Gestaltung;Sprach-Kosmos: Ob Sprech-Sprache oder Programmiersprache
21;meta-kommunikativ;interaktiv;Kommunikationsfluss;adaptiv;Meta-Fehler;Meta-ML;Meta-Entscheidung;Meta-Systemanalyse;Meta-Semantik;explizit;interaktiv;kohärent;11;adaptiv;gering;global-meta;Sprach-Kosmos;Token-Art: Als Unterscheidungseinheiten von Gestaltungen, geistigen Gehirn Kosmen, Wörtern, Token, Syntaxen, Inhalten, Zeichen, Symbolen
22;meta-ontologisch;reflexiv;Ontologieprüfung;global stabil;Meta-Inkonsistenz;Meta-ML;Meta-Entscheidung;Meta-Analyse;Ontologische Semantik;selbstkonsistent;meta-kommunikativ;logisch kohärent;12;hoch;gering;global-ontologisch;Bedeutung;Bedeutung, semantisch, in wahrscheinlich nicht nur Ontologie
23;meta-reflexiv;global;System-Reflexion;überstabil;Meta-Konflikt;Meta-ML;Meta-Gesamtentscheidung;Systemanalyse;Ontologische Gesamtkohärenz;holistisch;integrativ;hyperkohärent;12;adaptiv;minimal;überstabil;Sprachentwicklung;Sprachentwicklung, Dialektentstehung, neue Sprachen erschaffen, Wortneuschöpfungen, Sprachgeschichte
